Sampling date,Prefecture,City,Sampling coordinate North latitude,Sampling coordinate East longitude,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Sample ID,Accepted date,Turbidity (degree),Mass of suspended substance (mg/L),Transparency (cm),134Cs Radioactivity concentration (Bq/kg),134Cs Detection limit (Bq/kg),137Cs Radioactivity concentration (Bq/kg),137Cs Detection limit (Bq/kg),Remark
2013-01-22,Fukushima prefecture,Futaba county Okuma town,"37°24'52.9""","140°54'48.8""",37.414694,140.913556,10.5,12RK0284,2013/1/28,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-17,Fukushima prefecture,Futaba county Okuma town,"37°24'32.5""","140°52'16.7""",37.409019,140.871297,14.3,12RK0953,2013/3/19,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-16,Fukushima prefecture,Futaba county Okuma town,"37°24'27.1""","140°52'13.7""",37.407536,140.870483,14.4,12RK0947,2013/3/18,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-16,Fukushima prefecture,Futaba county Okuma town,"37°24'09.0""","140°52'14.5""",37.402486,140.870681,14.4,12RK0948,2013/3/18,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-16,Fukushima prefecture,Futaba county Okuma town,"37°23'57.7""","140°52'08.2""",37.399369,140.868942,14.6,12RK0949,2013/3/18,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-18,Fukushima prefecture,Futaba county Okuma town,"37°23'42.7""","140°52'07.8""",37.395186,140.868836,14.7,12RK0956,2013/3/21,0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-02-21,Fukushima prefecture,Futaba county Okuma town,"37°23'44.3""","140°52'25.3""",37.395639,140.873703,14.3,12RK0614,2013/2/26,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-18,Fukushima prefecture,Futaba county Okuma town,"37°23'31.8""","140°52'14.5""",37.392167,140.870681,14.6,12RK0957,2013/3/21,0.9,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-16,Fukushima prefecture,Futaba county Okuma town,"37°23'15.2""","140°52'13.0""",37.387542,140.870286,14.8,12RK0950,2013/3/18,0.1,4.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-17,Fukushima prefecture,Futaba county Okuma town,"37°23'13.2""","140°52'30.7""",37.386994,140.875183,14.4,12RK0954,2013/3/19,0.9,1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-17,Fukushima prefecture,Futaba county Okuma town,"37°23'14.3""","140°52'04.8""",37.387303,140.867997,15.0,12RK0955,2013/3/19,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-18,Fukushima prefecture,Futaba county Okuma town,"37°23'00.9""","140°52'16.0""",37.383583,140.871108,14.8,12RK0958,2013/3/21,0.7,2.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2012-12-25,Fukushima prefecture,Futaba county Okuma town,"37°24'08.5""","140°52'16.1""",37.402347,140.871139,14.4,12RK0012,2013/1/4,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-01-22,Fukushima prefecture,Futaba county Okuma town,"37°24'08.5""","140°52'16.1""",37.402347,140.871139,14.4,12RK0285,2013/1/28,0.3,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-02-21,Fukushima prefecture,Futaba county Okuma town,"37°24'08.5""","140°52'16.1""",37.402347,140.871139,14.4,12RK0615,2013/2/26,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-16,Fukushima prefecture,Futaba county Okuma town,"37°24'08.5""","140°52'16.1""",37.402347,140.871139,14.4,12RK0951,2013/3/18,0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-01-13,Fukushima prefecture,Futaba county Naraha town,"37°14'58.9""","140°57'58.7""",37.249686,140.966308,20.0,12RK0145,2013/1/21,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-02-13,Fukushima prefecture,Futaba county Naraha town,"37°14'58.9""","140°57'58.7""",37.249686,140.966308,20.0,12RK0520,2013/2/15,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-11,Fukushima prefecture,Futaba county Naraha town,"37°14'58.9""","140°57'58.7""",37.249686,140.966308,20.0,12RK0822,2013/3/14,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-01-13,Fukushima prefecture,Futaba county Naraha town,"37°15'22.8""","140°57'44.1""",37.256328,140.962250,19.4,12RK0146,2013/1/21,0.3,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-02-13,Fukushima prefecture,Futaba county Naraha town,"37°15'22.8""","140°57'44.1""",37.256328,140.962250,19.4,12RK0521,2013/2/15,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-11,Fukushima prefecture,Futaba county Naraha town,"37°15'22.8""","140°57'44.1""",37.256328,140.962250,19.4,12RK0823,2013/3/14,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-01-13,Fukushima prefecture,Futaba county Naraha town,"37°16'06.9""","140°57'04.9""",37.268581,140.951369,18.5,12RK0147,2013/1/21,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-02-13,Fukushima prefecture,Futaba county Naraha town,"37°16'06.9""","140°57'04.9""",37.268581,140.951369,18.5,12RK0522,2013/2/15,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-11,Fukushima prefecture,Futaba county Naraha town,"37°16'06.9""","140°57'04.9""",37.268581,140.951369,18.5,12RK0824,2013/3/14,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-01-13,Fukushima prefecture,Futaba county Naraha town,"37°17'21.9""","140°54'17.5""",37.289406,140.904847,18.5,12RK0148,2013/1/21,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-02-13,Fukushima prefecture,Futaba county Naraha town,"37°17'21.9""","140°54'17.5""",37.289406,140.904847,18.5,12RK0523,2013/2/15,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-11,Fukushima prefecture,Futaba county Naraha town,"37°17'21.9""","140°54'17.5""",37.289406,140.904847,18.5,12RK0825,2013/3/14,0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-01-13,Fukushima prefecture,Futaba county Naraha town,"37°18'28.1""","140°57'52.5""",37.307797,140.964583,14.0,12RK0149,2013/1/21,0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-02-13,Fukushima prefecture,Futaba county Naraha town,"37°18'28.1""","140°57'52.5""",37.307797,140.964583,14.0,12RK0524,2013/2/15,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-11,Fukushima prefecture,Futaba county Naraha town,"37°18'28.1""","140°57'52.5""",37.307797,140.964583,14.0,12RK0826,2013/3/14,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2012-12-22,Fukushima prefecture,Futaba county Hirono town,"37°14'32.4""","140°54'15.4""",37.242322,140.904281,22.9,12RK0004,2012/12/27,1.5,2.0,95.0,ND,1.0E+00,ND,1.0E+00,
2013-01-23,Fukushima prefecture,Futaba county Hirono town,"37°14'32.4""","140°54'15.4""",37.242322,140.904281,22.9,12RK0286,2013/1/28,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-02-13,Fukushima prefecture,Futaba county Hirono town,"37°14'32.4""","140°54'15.4""",37.242322,140.904281,22.9,12RK0518,2013/2/15,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-11,Fukushima prefecture,Futaba county Hirono town,"37°14'32.4""","140°54'15.4""",37.242322,140.904281,22.9,12RK0820,2013/3/14,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2012-12-22,Fukushima prefecture,Futaba county Hirono town,"37°14'25.1""","140°54'49.0""",37.240294,140.913606,22.7,12RK0005,2012/12/27,2.2,5.0,69.0,ND,1.0E+00,ND,1.0E+00,
2013-01-13,Fukushima prefecture,Futaba county Hirono town,"37°14'25.1""","140°54'49.0""",37.240294,140.913606,22.7,12RK0150,2013/1/21,0.3,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-02-13,Fukushima prefecture,Futaba county Hirono town,"37°14'25.1""","140°54'49.0""",37.240294,140.913606,22.7,12RK0519,2013/2/15,0.4,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-11,Fukushima prefecture,Futaba county Hirono town,"37°14'25.1""","140°54'49.0""",37.240294,140.913606,22.7,12RK0821,2013/3/14,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-02,Fukushima prefecture,Soma county Iitate village,"37°41'40.8""","140°45'56.8""",37.694667,140.765778,38.4,12RK0706,2013/3/5,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-02,Fukushima prefecture,Soma county Iitate village,"37°41'28.4""","140°45'54.3""",37.691222,140.765083,38.1,12RK0707,2013/3/5,0.5,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-03,Fukushima prefecture,Soma county Iitate village,"37°40'32.4""","140°47'25.8""",37.675667,140.790500,35.4,12RK0716,2013/3/6,0.3,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-03,Fukushima prefecture,Soma county Iitate village,"37°38'32.1""","140°44'44.4""",37.642250,140.745667,35.2,12RK0717,2013/3/6,0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-03,Fukushima prefecture,Soma county Iitate village,"37°38'21.4""","140°45'03.3""",37.639278,140.750917,34.7,12RK0718,2013/3/6,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-03,Fukushima prefecture,Soma county Iitate village,"37°41'16.1""","140°48'13.6""",37.687806,140.803778,35.8,12RK0719,2013/3/6,<0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-02,Fukushima prefecture,Soma county Iitate village,"37°41'05.9""","140°46'40.7""",37.684972,140.777972,36.9,12RK0708,2013/3/5,0.2,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
2013-03-03,Fukushima prefecture,Soma county Iitate village,"37°41'56.1""","140°48'49.6""",37.698917,140.813778,36.3,12RK0720,2013/3/6,0.1,<1.0,100.0<,ND,1.0E+00,ND,1.0E+00,
